hanja,unicode,reading,meaning_kw
藿,U+85FF,곽,콩잎
椁,U+6901,곽,관
癨,U+7668,곽,곽란
霍,U+970D,곽,빠를
鞹,U+97B9,곽,무두질한 가죽
管,U+7BA1,관,피리
貫,U+8CAB,관,꿸
慣,U+6163,관,버릇
冠,U+51A0,관,갓
館,U+9928,관,객사
舘,U+8218,관,객사
寬,U+5BEC,관,너그러울
寛,U+5BDB,관,용서할
光,U+5149,광,빛
廣,U+5EE3,광,넓을
鑛,U+945B,광,쇳돌
狂,U+72C2,광,미질
広,U+5E83,광,넢을
炛,U+709B,광,
炚,U+709A,광,햇빚 뜨거울
掛,U+639B,괘,걸
卦,U+5366,괘,걸
罫,U+7F6B,괘,줄
咼,U+54BC,괘,입 비뚤어질
挂,U+6302,괘,그림족자
罣,U+7F63,괘,걸
詿,U+8A7F,괘,그르칠
塊,U+584A,괴,흙덩이
愧,U+6127,괴,부끄러워할
怪,U+602A,괴,기이할
壞,U+58DE,괴,무너질
乖,U+4E56,괴,어그러질
傀,U+5080,괴,클
拐,U+62D0,괴,속일
槐,U+69D0,괴,홰나무
魁,U+9B41,괴,으뜸
媿,U+5ABF,괴,창피줄
廥,U+5EE5,괴,여물광
瑰,U+7470,괴,슬이름
璝,U+749D,괴,옥돌
蒯,U+84AF,괴,황모
襘,U+8958,괴,띠매듭
餃,U+9903,교,경단
驕,U+9A55,교,교만할
鮫,U+9BAB,교,상어
姣,U+59E3,교,예쁠
佼,U+4F7C,교,예쁠
噭,U+566D,교,부르짖을
憍,U+618D,교,교만할
鄗,U+9117,교,
嘐,U+5610,교,닭 울
嘄,U+5604,교,부르짖을
嚙,U+5699,교,깨물
撟,U+649F,교,들
晈,U+6648,교,달 밝을
暞,U+669E,교,밝을
敎,U+654E,교,가르침
教,U+6559,교,가르칠
具,U+5177,구,갖출
俱,U+4FF1,구,함께
區,U+5340,구,감출
驅,U+9A45,구,몰
丘,U+4E18,구,언덕
坵,U+5775,구,언덕
耇,U+8007,구,명길
耈,U+8008,구,늙을
廏,U+5ECF,구,마구간
廐,U+5ED0,구,마구간
國,U+570B,국,나라
菊,U+83CA,국,국화
局,U+5C40,국,부분
鞠,U+97A0,국,기를
鞫,U+97AB,국,국문할
麴,U+9EB4,국,누룩
𥮗,U+25B97,국,
匊,U+530A,국,움켜 뜰
掬,U+63AC,국,두 손으로 움킬
跼,U+8DFC,국,구부릴
麯,U+9EAF,국,누룩
趜,U+8D9C,국,
国,U+56FD,국,나라
君,U+541B,군,임금
郡,U+90E1,군,고을
軍,U+8ECD,군,군사
群,U+7FA4,군,무리
窘,U+7A98,군,군색할
裙,U+88D9,군,치마
捃,U+6343,군,주울
桾,U+687E,군,고욤나무
皸,U+76B8,군,얼어터질
屈,U+5C48,굴,굽을
窟,U+7A9F,굴,구멍
堀,U+5800,굴,굴뚝
掘,U+6398,굴,팔
倔,U+5014,굴,딱딱할
崛,U+5D1B,굴,산 높을
淈,U+6DC8,굴,흐릴
詘,U+8A58,굴,굽을
弓,U+5F13,궁,활
宮,U+5BAE,궁,궁궐
窮,U+7AAE,궁,다할
躬,U+8EAC,궁,몸
穹,U+7A79,궁,높을
芎,U+828E,궁,궁궁이
躳,U+8EB3,궁,몸
