reading,hanja,unicode,meaning_kw,meaning_tags
렴,廉,U+5EC9,청렴할,청렴
렴,濂,U+6FC2,내 이름,균형
렴,簾,U+7C3E,발,균형
렴,斂,U+6582,거둘,균형
렴,殮,U+6BAE,염할,균형
렴,瀲,U+7032,넘칠,균형
렴,磏,U+78CF,거친 숫돌,균형
렵,獵,U+7375,사냥,균형
렵,躐,U+8E90,밟을,균형
렵,鬣,U+9B23,갈기,균형
령,岭,U+5CAD,산 이름,균형
령,岺,U+5CBA,재,균형
례,例,U+4F8B,법식,균형
례,禮,U+79AE,예도,균형
례,隷,U+96B7,종,균형
례,澧,U+6FA7,강 이름,강인함
례,醴,U+91B4,단술,균형
례,隸,U+96B8,붙을,균형
례,鱧,U+9C67,가물치,균형
례,礼,U+793C,예도,균형
로,櫨,U+6AE8,,균형
로,蕗,U+8557,,균형
로,潦,U+6F66,큰 비,성장
로,瓐,U+74D0,,균형
로,澇,U+6F87,,균형
로,壚,U+58DA,흑토,균형
로,滷,U+6EF7,소금밭,균형
로,玈,U+7388,검을,균형
로,癆,U+7646,종독,균형
로,窂,U+7A82,우리,균형
로,鸕,U+9E15,가마우지,균형
로,艪,U+826A,노,균형
로,艫,U+826B,뱃머리,균형
로,轤,U+8F64,고패,균형
로,虜,U+865C,포로,균형
록,綠,U+7DA0,초록빛,밝음
록,祿,U+797F,복,균형
록,錄,U+9304,기록할,균형
록,鹿,U+9E7F,사슴,균형
록,彔,U+5F54,나무 깍을,균형
록,碌,U+788C,돌 모양,균형
록,菉,U+83C9,조개풀,개방
록,麓,U+9E93,신기슭,균형
록,淥,U+6DE5,밭을,균형
록,漉,U+6F09,거를,균형
록,簏,U+7C0F,대 상자,균형
록,轆,U+8F46,도르래,균형
록,鵦,U+9D66,,균형
론,論,U+8AD6,말할,균형
롱,弄,U+5F04,희롱할,균형
롱,瀧,U+7027,비 올,균형
롱,瓏,U+74CF,옥소리,균형
롱,籠,U+7C60,대그릇,균형
롱,壟,U+58DF,언덕,균형
롱,朧,U+6727,흐릿할,균형
롱,聾,U+807E,귀머거리,균형
롱,儱,U+5131,건목칠,균형
롱,攏,U+650F,누를,균형
롱,曨,U+66E8,어스레할,균형
롱,礱,U+7931,갈,균형
롱,蘢,U+8622,개여뀌,개방
롱,隴,U+96B4,고개 이름,개방
뢰,雷,U+96F7,우뢰,균형
뢰,賴,U+8CF4,힘 입을,균형
뢰,頼,U+983C,의뢰할,균형
료,料,U+6599,되질할,균형
료,了,U+4E86,마칠,균형
료,僚,U+50DA,동료,균형
룡,龍,U+9F8D,용,균형
룡,龒,U+9F92,용,균형
룡,竜,U+7ADC,용,균형
류,柳,U+67F3,버들,균형
류,留,U+7559,머무를,균형
류,流,U+6D41,흐를,균형
류,類,U+985E,무리,균형
류,琉,U+7409,유리,균형
류,劉,U+5289,죽일,밝음
류,硫,U+786B,유황,균형
류,瘤,U+7624,혹,균형
류,旒,U+65D2,깃발,균형
류,榴,U+69B4,석류나무,균형
류,溜,U+6E9C,방울져 떨어질,지혜|개방
류,瀏,U+700F,맑을,청렴
류,謬,U+8B2C,그릇될,균형
류,橊,U+6A4A,석류나무,균형
류,縲,U+7E32,포승,균형
류,纍,U+7E8D,갇힐,균형
류,遛,U+905B,머무를,균형
류,鶹,U+9DB9,올빼미,균형
류,瑠,U+7460,맑은 유리,청렴
륙,六,U+516D,여섯,균형
륙,陸,U+9678,뭍,균형
륙,戮,U+622E,죽일,밝음
륙,勠,U+52E0,협력할,균형
륜,倫,U+502B,인륜,균형
륜,輪,U+8F2A,바퀴,균형
륜,侖,U+4F96,둥글,균형
륜,崙,U+5D19,산 이름,균형
륜,綸,U+7DB8,낚싯줄,균형
륜,淪,U+6DEA,물놀이,균형
륜,錀,U+9300,,균형
륜,圇,U+5707,완전할,균형
륜,掄,U+6384,가릴,균형
륜,崘,U+5D18,,균형
률,律,U+5F8B,법,균형
률,栗,U+6817,밤나무,균형
률,率,U+7387,거느릴,균형
률,慄,U+6144,두려워할,균형
률,嵂,U+5D42,가파를,균형
률,𥠲,U+25832,,균형
률,瑮,U+746E,,균형
률,溧,U+6EA7,강 이름,강인함
륭,隆,U+9686,클,성장
륭,癃,U+7643,느른할,균형
륭,窿,U+7ABF,활꼴,균형
륭,㦕,U+3995,,균형
름,廩,U+5EE9,곳집,균형
름,凛,U+51DB,찰,균형
름,菻,U+83FB,,균형
름,澟,U+6F9F,서늘할,균형
름,凜,U+51DC,찰,균형
릉,陵,U+9675,큰 언덕,성장
릉,綾,U+7DBE,비단,균형
릉,菱,U+83F1,마름,균형
릉,稜,U+7A1C,모,균형
릉,凌,U+51CC,능가할,균형
릉,倰,U+5030,속일,밝음
릉,蔆,U+8506,마름,균형
릉,楞,U+695E,모,균형
리,李,U+674E,오얏,균형
리,吏,U+540F,벼슬아치,균형
리,離,U+96E2,떼 놓을,균형
리,裏,U+88CF,속,균형
리,𢻠,U+22EE0,,균형
리,犂,U+7282,,균형
리,摛,U+645B,,균형
리,剺,U+527A,벗길,균형
리,哩,U+54E9,어조사,균형
리,嫠,U+5AE0,과부,균형
리,莅,U+8385,다다를,균형
리,蜊,U+870A,참조개,개방
리,螭,U+87AD,교륭,균형
리,貍,U+8C8D,삵,균형
리,邐,U+9090,이어질,지혜
리,魑,U+9B51,도깨비,균형
리,黐,U+9ED0,끈끈이,균형
리,漓,U+6F13,스며들,균형
린,鄰,U+9130,이웃,균형
린,麟,U+9E9F,기린,균형
린,𪊭,U+2A2AD,,균형
린,隣,U+96A3,이웃,균형
림,林,U+6797,수풀,균형
림,臨,U+81E8,임할,균형
림,琳,U+7433,아름다운 옥,균형
림,霖,U+9716,장마,강인함
림,淋,U+6DCB,물뿌릴,균형
림,棽,U+68FD,,균형
림,碄,U+7884,,균형
림,晽,U+667D,,균형
림,玪,U+73AA,,균형
림,痳,U+75F3,임질,균형
립,立,U+7ACB,설,균형
립,笠,U+7B20,우리,균형
립,粒,U+7C92,알,균형
립,砬,U+782C,돌 소리,균형
립,岦,U+5CA6,산 우뚝할,균형
마,馬,U+99AC,말,균형
마,麻,U+9EBB,삼,균형
마,磨,U+78E8,갈,균형
마,瑪,U+746A,마노,균형
마,摩,U+6469,갈,균형
마,痲,U+75F2,저릴,균형
마,碼,U+78BC,마노,균형
마,魔,U+9B54,마귀,균형
마,媽,U+5ABD,어미,균형
마,劘,U+5298,깍을,균형
마,螞,U+879E,말거머리,균형
마,蟇,U+87C7,개구리,개방
마,麽,U+9EBD,잘,균형
막,莫,U+83AB,없을,균형
막,幕,U+5E55,막,균형
막,漠,U+6F20,사막,균형
막,寞,U+5BDE,쓸쓸할,균형
막,膜,U+819C,막,균형
막,邈,U+9088,멀,균형
막,瞙,U+7799,눈 흐릴,균형
막,鏌,U+93CC,칼 이름,균형
만,萬,U+842C,일만,밝음
만,万,U+4E07,일만,밝음
말,末,U+672B,끝,균형
말,茉,U+8309,말리,균형
말,唜,U+551C,끌,균형
말,抹,U+62B9,바랄,균형
말,沫,U+6CAB,거품,균형
말,襪,U+896A,버선,균형
말,靺,U+977A,버선,균형
말,帕,U+5E15,머리띠,균형
말,秣,U+79E3,꼴,균형
망,網,U+7DB2,그물,균형
망,芒,U+8292,까끄라기,균형
망,輞,U+8F1E,바퀴테,균형
망,邙,U+9099,산 이름,균형
망,惘,U+60D8,멍할,균형
망,汒,U+6C52,황급할,균형
망,漭,U+6F2D,넓을,개방
망,魍,U+9B4D,도깨비,균형
망,莽,U+83BD,우거질,균형
망,望,U+671B,바랄,균형
망,朢,U+6722,,균형
맥,麥,U+9EA5,보리,균형
맥,脈,U+8108,맥,균형
맥,貊,U+8C8A,북방 종족,개방
맥,陌,U+964C,두렁,균형
맥,驀,U+9A40,말탈,균형
맥,貃,U+8C83,오랑캐,균형
맥,貘,U+8C98,짐승 이름,균형
맹,孟,U+5B5F,맏,균형
맹,猛,U+731B,사나울,균형
맹,盟,U+76DF,맹세할,균형
맹,盲,U+76F2,소경,균형
맹,萌,U+840C,싹,균형
맹,氓,U+6C13,백성,균형
맹,甍,U+750D,용마루,균형
맹,甿,U+753F,백성,균형
맹,虻,U+867B,등에,균형
면,冕,U+5195,면류관,균형
면,棉,U+68C9,목화,균형
면,沔,U+6C94,물 흐를,균형
면,眄,U+7704,애꾸눈,균형
면,緬,U+7DEC,가는 실,균형
면,麪,U+9EAA,밀가루,균형
면,俛,U+4FDB,힘쓸,균형
면,湎,U+6E4E,빠질,균형
면,緜,U+7DDC,햇솜,밝음
면,麵,U+9EB5,밀가루,균형
멸,滅,U+6EC5,멸망할,균형
멸,蔑,U+8511,업신여길,균형
멸,篾,U+7BFE,대 껍질,균형
멸,衊,U+884A,모독할,균형
명,溟,U+6E9F,어두울,균형
명,暝,U+669D,어두울,균형
명,椧,U+6927,홈 통,개방
명,皿,U+76BF,그릇,균형
명,瞑,U+7791,눈 감을,균형
명,茗,U+8317,차 싹,균형
명,蓂,U+84C2,명협,밝음
명,螟,U+879F,마디충,균형
명,酩,U+9169,술 취할,균형
명,慏,U+614F,,균형
명,洺,U+6D3A,강 이름,강인함
명,眀,U+7700,,균형
명,䳟,U+4CDF,,균형
모,謀,U+8B00,꾀할,균형
모,模,U+6A21,법,균형
모,貌,U+8C8C,얼굴,균형
모,募,U+52DF,모을,집중
목,木,U+6728,나무,균형
목,目,U+76EE,눈,균형
목,牧,U+7267,칠,균형
목,睦,U+7766,화목할,온화
목,穆,U+7A46,화목할,온화
목,鶩,U+9DA9,집오리,균형
목,沐,U+6C90,머리감을,균형
목,苜,U+82DC,거여목,균형
몰,沒,U+6C92,가라 앉을,균형
몰,歿,U+6B7F,죽을,균형
몽,夢,U+5922,꿈,균형
몽,蒙,U+8499,입을,균형
몽,朦,U+6726,풍부할,풍요
몽,幪,U+5E6A,덮을,균형
몽,懞,U+61DE,어두울,균형
몽,曚,U+66DA,어두울,균형
몽,溕,U+6E95,이슬비,균형
몽,濛,U+6FDB,가랑비 올,균형
몽,瞢,U+77A2,어두울,균형
몽,矇,U+77C7,소경,균형
몽,艨,U+8268,싸움배,균형
몽,雺,U+96FA,안개,개방
몽,鸏,U+9E0F,비둘기,균형
묘,描,U+63CF,그릴,균형
묘,錨,U+9328,닻,균형
묘,畝,U+755D,이랑,균형
묘,昴,U+6634,별자리 이름,균형
묘,杳,U+6773,어두울,균형
묘,渺,U+6E3A,아득할,균형
묘,猫,U+732B,고양이,균형
묘,淼,U+6DFC,물 아득할,균형
묘,眇,U+7707,애꾸눈,균형
묘,藐,U+85D0,작을,균형
묘,貓,U+8C93,고양이,균형
묘,妙,U+5999,묘할,균형
묘,竗,U+7AD7,땅 이름,균형
무,無,U+7121,없을,균형
무,无,U+65E0,없을,균형
묵,墨,U+58A8,먹,균형
묵,默,U+9ED8,묵묵할,균형
묵,嘿,U+563F,고요할,안정
문,門,U+9580,문,균형
문,問,U+554F,물을,균형
문,聞,U+805E,들을,균형
문,文,U+6587,무늬,균형
물,勿,U+52FF,말,균형
물,物,U+7269,만물,균형
물,沕,U+6C95,아득할,균형
미,媺,U+5ABA,착하고 아름다울,균형
미,濔,U+6FD4,,균형
미,煝,U+715D,,균형
미,娓,U+5A13,장황할,강인함
미,洣,U+6D23,,균형
미,侎,U+4F8E,어루만질,균형
미,瑂,U+7442,,균형
미,𥹄,U+25E44,,균형
미,㵟,U+3D5F,,균형
미,冞,U+519E,점점,균형
미,蘪,U+862A,,균형
미,亹,U+4EB9,힘쓸,균형
미,弭,U+5F2D,활고자,균형
미,彌,U+5F4C,두루,균형
미,弥,U+5F25,미륵,균형
민,民,U+6C11,백성,균형
민,敏,U+654F,민첩할,균형
민,憫,U+61AB,불쌍히 여길,균형
민,悶,U+60B6,번민할,균형
민,緡,U+7DE1,낚시줄,균형
민,𩔉,U+29509,,균형
민,鈱,U+9231,,균형
민,脗,U+8117,,균형
민,閩,U+95A9,종족이름,균형
민,盿,U+76FF,,균형
민,罠,U+7F60,그물,균형
민,琝,U+741D,,균형
민,琘,U+7418,,균형
민,緍,U+7DCD,낚시줄,균형
민,苠,U+82E0,속대,균형
민,鰵,U+9C35,대구,균형
민,黽,U+9EFD,힘쓸,균형
민,珉,U+73C9,아름다운돌,균형
민,瑉,U+7449,,균형
민,砇,U+7807,,균형
민,䃉,U+40C9,,균형
민,忞,U+5FDE,강인할,강인함
민,忟,U+5FDF,강인할,강인함
밀,密,U+5BC6,빽빽할,균형
밀,蜜,U+871C,꿀,균형
밀,謐,U+8B10,고요할,안정
밀,樒,U+6A12,침향,균형
밀,滵,U+6EF5,물 흐르는 모양,균형
반,盤,U+76E4,소반,균형
반,班,U+73ED,나눌,균형
반,返,U+8FD4,돌이킬,균형
반,叛,U+53DB,배반할,균형
발,發,U+767C,쏠,균형
발,拔,U+62D4,뺄,균형
발,髮,U+9AEE,터럭,균형
발,潑,U+6F51,뿌릴,균형
발,鉢,U+9262,바리때,균형
발,渤,U+6E24,바다이름,균형
발,勃,U+52C3,갑작스러울,균형
발,撥,U+64A5,다스릴,균형
발,跋,U+8DCB,밟을,균형
발,醱,U+91B1,술 괼,균형
발,魃,U+9B43,가물 귀신,균형
발,炦,U+70A6,,균형
발,哱,U+54F1,어지러울,균형
발,浡,U+6D61,일어날,밝음
발,脖,U+8116,배꼽,균형
발,鈸,U+9238,방울,개방
발,鵓,U+9D53,집비둘기,균형
방,訪,U+8A2A,찾을,균형
방,芳,U+82B3,꽃다울,균형
방,傍,U+508D,곁,균형
방,妨,U+59A8,방해할,밝음|개방
방,蒡,U+84A1,인동 덩굴,균형
방,蚌,U+868C,방합,개방
방,謗,U+8B17,헐뜯을,균형
방,幫,U+5E6B,도울,균형
방,仿,U+4EFF,헤멜,균형
방,厖,U+5396,클,성장
방,徬,U+5FAC,시중들,균형
방,搒,U+6412,배저을,균형
방,旊,U+65CA,옹기장,강인함
방,梆,U+6886,목어,균형
방,牓,U+7253,패,균형
방,舽,U+823D,배,균형
방,螃,U+8783,방게,개방
방,鎊,U+938A,깎을,균형
방,幇,U+5E47,도울,균형
배,杯,U+676F,잔,균형
배,盃,U+76C3,잔,균형
배,裴,U+88F4,옷 치렁치렁할,균형
배,裵,U+88F5,치렁치렁할,균형
백,白,U+767D,흰,균형
백,百,U+767E,일백,밝음
백,伯,U+4F2F,맏,균형
백,佰,U+4F70,일백,밝음
백,帛,U+5E1B,비단,균형
백,魄,U+9B44,넋,균형
백,柏,U+67CF,나무 이름,균형
백,苩,U+82E9,,균형
백,䞟,U+479F,,균형
백,珀,U+73C0,호박,균형
백,栢,U+6822,측백,균형
번,番,U+756A,갈마들,균형
번,煩,U+7169,괴로워할,균형
번,繁,U+7E41,많을,균형
번,飜,U+98DC,뒤칠,균형
번,蕃,U+8543,우거질,균형
번,幡,U+5E61,기,균형
번,樊,U+6A0A,울,균형
번,燔,U+71D4,구울,균형
번,磻,U+78FB,강이름,강인함
번,藩,U+85E9,덮을,균형
번,繙,U+7E59,되풀이 풀이할,균형
번,膰,U+81B0,제사 고기,균형
번,蘩,U+8629,산흰쑥,균형
번,袢,U+88A2,속옷,균형
번,翻,U+7FFB,날,균형
벌,伐,U+4F10,칠,균형
벌,罰,U+7F70,죄,균형
벌,閥,U+95A5,공훈,균형
벌,筏,U+7B4F,떼,균형
벌,橃,U+6A43,떼,균형
벌,罸,U+7F78,죄,균형
범,凡,U+51E1,무릇,균형
범,犯,U+72AF,범할,균형
범,範,U+7BC4,법,균형
범,帆,U+5E06,돛,균형
범,杋,U+674B,,균형
범,氾,U+6C3E,넘칠,균형
범,范,U+8303,풀 이름,균형
범,梵,U+68B5,범어,균형
범,泛,U+6CDB,뜰,균형
범,汎,U+6C4E,뜰,균형
범,釩,U+91E9,,균형
범,渢,U+6E22,,균형
범,滼,U+6EFC,,균형
범,笵,U+7B35,법,균형
범,訉,U+8A09,말 많을,균형
범,颿,U+98BF,돛,균형
법,法,U+6CD5,법,균형
법,琺,U+743A,법랑,균형
벽,壁,U+58C1,벽,균형
벽,碧,U+78A7,푸를,균형
벽,檗,U+6A97,황벽나무,균형
벽,蘗,U+8617,황경나무,균형
변,變,U+8B8A,변할,균형
변,辯,U+8FAF,말잘할,균형
변,辨,U+8FA8,분별할,균형
변,邊,U+908A,가,균형
변,卞,U+535E,조급할,균형
변,弁,U+5F01,고깔,균형
변,便,U+4FBF,똥오줌,균형
변,釆,U+91C6,분별할,균형
변,忭,U+5FED,기뻐할,균형
변,抃,U+6283,손뼉칠,균형
변,籩,U+7C69,제기 이름,균형
변,腁,U+8141,살갗 틀,균형
변,賆,U+8CC6,더할,균형
변,辮,U+8FAE,땋을,균형
변,駢,U+99E2,나란히 할,균형
변,骿,U+9ABF,통갈비,개방
변,鴘,U+9D18,매,균형
별,別,U+5225,나눌,균형
별,瞥,U+77A5,언뜻 볼,균형
별,鼈,U+9F08,자라,성장
별,襒,U+8952,,균형
별,𩠻,U+2983B,,균형
별,莂,U+8382,,균형
별,鷩,U+9DE9,금계,균형
별,䭱,U+4B71,,균형
별,㔡,U+3521,,균형
별,炦,U+70A6,,균형
별,彆,U+5F46,활 뒤틀릴,균형
별,鱉,U+9C49,자라,성장
보,寶,U+5BF6,보배,균형
보,宝,U+5B9D,보배,균형
보,珤,U+73E4,보배,균형
보,㻄,U+3EC4,,균형
보,步,U+6B65,걸을,균형
보,歩,U+6B69,걸을,균형
본,本,U+672C,밑,균형
봉,峯,U+5CEF,봉우리,균형
봉,峰,U+5CF0,峯과 同,균형
봉,漨,U+6F28,,균형
봉,浲,U+6D72,,균형
부,付,U+4ED8,줄,균형
부,符,U+7B26,부신,균형
부,附,U+9644,붙을,균형
부,府,U+5E9C,곳집,균형
북,北,U+5317,북녘,균형
분,帉,U+5E09,걸레,균형
분,枌,U+678C,나무 이름,균형
분,棼,U+68FC,마룻대,균형
분,棻,U+68FB,향내 나는 나무,균형
분,氛,U+6C1B,기운,균형
분,湓,U+6E53,용솟음할,균형
분,濆,U+6FC6,뿜을,균형
분,犇,U+7287,달아날,균형
분,畚,U+755A,삼태기,균형
분,砏,U+780F,큰 소리,성장
분,笨,U+7B28,거칠,균형
분,肦,U+80A6,머리 클,성장
분,膹,U+81B9,고기 삶은 국,균형
분,蕡,U+8561,들깨,균형
불,不,U+4E0D,아닐,균형
불,佛,U+4F5B,부처,균형
불,拂,U+62C2,떨,균형
불,彿,U+5F7F,비슷할,균형
불,弗,U+5F17,아닐,균형
불,岪,U+5CAA,산길,균형
불,祓,U+7953,푸닥거리할,균형
불,紱,U+7D31,인끈,균형
불,艴,U+8274,발끈할,균형
불,茀,U+8300,풀 우거질,균형
불,韍,U+97CD,폐슬,균형
불,髴,U+9AF4,비슷할,균형
불,黻,U+9EFB,수,균형
붕,朋,U+670B,벗,균형
붕,崩,U+5D29,무너질,균형
붕,鵬,U+9D6C,대붕새,균형
붕,棚,U+68DA,시렁,균형
붕,硼,U+787C,붕산,균형
붕,繃,U+7E43,묶을,균형
붕,堋,U+580B,묻을,균형
붕,鬅,U+9B05,머리 흐트러질,균형
붕,漰,U+6F30,물결치는 소리,균형
비,祕,U+7955,귀신,균형
비,秘,U+79D8,숨길,균형
비,毗,U+6BD7,도울,균형
비,毘,U+6BD8,도울,균형
빈,貧,U+8CA7,가난할,균형
빈,賓,U+8CD3,손,균형
빈,頻,U+983B,자주,균형
빈,彬,U+5F6C,빛날,밝음
빈,份,U+4EFD,빛날,밝음
빙,氷,U+6C37,얼음,균형
빙,聘,U+8058,찾아가다,균형
빙,憑,U+6191,기대다,균형
빙,騁,U+9A01,달리다,균형
빙,凭,U+51ED,기대다,균형
빙,娉,U+5A09,장가들다,강인함
삭,削,U+524A,깎을,균형
삭,朔,U+6714,초하루,균형
삭,數,U+6578,자주,균형
삭,索,U+7D22,동아줄,균형
삭,爍,U+720D,빛날,밝음
삭,鑠,U+9460,녹일,밝음
삭,搠,U+6420,,균형
삭,槊,U+69CA,창,균형
삭,蒴,U+84B4,말오줌대,균형
산,山,U+5C71,뫼,균형
산,産,U+7523,낳을,균형
산,散,U+6563,흩을,균형
산,算,U+7B97,셀,균형
살,殺,U+6BBA,죽일,밝음
살,薩,U+85A9,보살,균형
살,乷,U+4E77,음역자,균형
살,撒,U+6492,뿌릴,균형
살,煞,U+715E,죽일,밝음
삼,三,U+4E09,석,균형
삼,參,U+53C3,석,균형
삼,蔘,U+8518,인삼,균형
삼,杉,U+6749,삼나무,균형
삼,衫,U+886B,적삼,균형
삼,滲,U+6EF2,스밀,균형
삼,芟,U+829F,벨,균형
삼,森,U+68EE,나무빽빽할,균형
삼,糝,U+7CDD,나물죽,균형
삼,釤,U+91E4,낫,균형
삼,鬖,U+9B16,헝클어질,성장|지혜
삽,插,U+63D2,꽂을,균형
삽,澁,U+6F81,떫을,균형
삽,鈒,U+9212,창,균형
삽,颯,U+98AF,바람소리,균형
삽,卅,U+5345,서른,균형
삽,唼,U+553C,쪼아먹을,균형
삽,歃,U+6B43,마실,균형
삽,翣,U+7FE3,운삽,균형
삽,鍤,U+9364,가래,균형
삽,霅,U+9705,비올,균형
삽,霎,U+970E,가랑비,균형
삽,揷,U+63F7,꽂을,균형
상,傷,U+50B7,상처,균형
상,喪,U+55AA,죽을,균형
상,嘗,U+5617,맛볼,균형
상,裳,U+88F3,치마,균형
새,塞,U+585E,변방,개방
새,璽,U+74BD,도장,강인함
새,賽,U+8CFD,굿할,균형
새,鰓,U+9C13,뿔심,균형
새,愢,U+6122,,균형
새,㘔,U+3614,,균형
색,色,U+8272,빛,밝음
색,索,U+7D22,찾을,균형
색,嗇,U+55C7,아낄,균형
색,穡,U+7A61,거둘,균형
색,塞,U+585E,막힐,균형
색,槭,U+69ED,나뭇잎 떨어져 앙상할,균형
색,濇,U+6FC7,껄끄러울,균형
색,瀒,U+7012,껄끄러울,균형
생,生,U+751F,날,균형
생,牲,U+7272,희생,균형
생,甥,U+7525,생질,균형
생,省,U+7701,덜,균형
생,笙,U+7B19,생황,균형
생,眚,U+771A,눈에백태낄,균형
생,鉎,U+924E,녹,균형
서,敍,U+654D,차례,균형
서,徐,U+5F90,천천할,균형
서,庶,U+5EB6,여러,균형
서,恕,U+6055,용서할,균형
서,薯,U+85AF,참마,균형
서,鋤,U+92E4,호미,균형
서,黍,U+9ECD,기장,강인함
서,鼠,U+9F20,쥐,균형
서,藇,U+85C7,,균형
서,揟,U+63DF,나무이름,균형
서,悆,U+6086,,균형
서,湑,U+6E51,거를,균형
서,偦,U+5066,,균형
서,稰,U+7A30,,균형
서,㷂,U+3DC2,,균형
서,遾,U+907E,,균형
서,噬,U+566C,씹을,균형
서,撕,U+6495,훈계할,균형
서,壻,U+58FB,사위,균형
서,婿,U+5A7F,사위,균형
서,嶼,U+5DBC,섬,균형
서,㠘,U+3818,,균형
서,㣽,U+38FD,,균형
석,晳,U+6673,밝을,밝음
석,晰,U+6670,밝을,밝음
선,善,U+5584,착할,균형
선,船,U+8239,배,균형
선,選,U+9078,가릴,균형
선,宣,U+5BA3,베풀,균형
선,膳,U+81B3,반찬,균형
선,饍,U+994D,반찬,균형
설,雪,U+96EA,눈,균형
설,說,U+8AAA,말씀,균형
설,設,U+8A2D,베풀,균형
설,舌,U+820C,혀,균형
설,禼,U+79BC,,균형
설,卨,U+5368,사람이름,균형
섭,涉,U+6D89,물 건널,균형
섭,攝,U+651D,몰아 잡을,균형
섭,燮,U+71EE,불에 익힐,균형
섭,葉,U+8449,고을이름,균형
섭,㰔,U+3C14,,균형
섭,𦁗,U+26057,,균형
섭,躞,U+8E9E,족자 마구리,균형
섭,躡,U+8EA1,밟을,균형
섭,囁,U+56C1,말하려다 멈출,균형
섭,懾,U+61FE,무서울,균형
섭,灄,U+7044,흠치르르할,균형
섭,聶,U+8076,소곤거릴,균형
섭,鑷,U+9477,쪽집게,균형
섭,顳,U+9873,귀밑 뼈,균형
성,誠,U+8AA0,미쁠,균형
성,盛,U+76DB,담을,균형
성,省,U+7701,살필,균형
성,聖,U+8056,성인,균형
성,晟,U+665F,밝을,밝음
성,晠,U+6660,,균형
세,貰,U+8CB0,빌릴,균형
세,笹,U+7B39,가는 대,균형
세,說,U+8AAA,달랠,균형
세,忕,U+5FD5,,균형
세,洒,U+6D12,씻을,균형
세,涗,U+6D97,,균형
세,𡜧,U+21727,,균형
세,銴,U+92B4,,균형
세,彗,U+5F57,혜성,균형
세,帨,U+5E28,차는 수건,균형
세,繐,U+7E50,가늘고 성긴 베,균형
세,蛻,U+86FB,매미 허물,균형
속,涑,U+6D91,헹굴,균형
속,謖,U+8B16,일어날,밝음
속,贖,U+8D16,속바칠,균형
속,洬,U+6D2C,비 올,균형
속,遬,U+906C,공손할,균형
손,孫,U+5B6B,손자,균형
손,損,U+640D,덜,균형
손,遜,U+905C,순할,유연
손,巽,U+5DFD,사양할,균형
손,蓀,U+84C0,향풀 이름,균형
손,飧,U+98E7,저녁밥,균형
손,飡,U+98E1,저녁밥,균형
송,宋,U+5B8B,송나라,균형
송,淞,U+6DDE,강이름,강인함
송,悚,U+609A,두려울,균형
송,竦,U+7AE6,공경할,균형
송,憽,U+61BD,,균형
송,鬆,U+9B06,터럭 더부룩할,균형
쇄,刷,U+5237,긁을,균형
쇄,鎖,U+9396,자물쇠,균형
쇄,殺,U+6BBA,빠를,균형
쇄,灑,U+7051,뿌릴,균형
쇄,碎,U+788E,부술,균형
쇄,曬,U+66EC,쬘,균형
쇄,瑣,U+7463,옥가루,균형
쇄,鎻,U+93BB,,균형
쇠,𮕩,U+2E569,,균형
쇠,釗,U+91D7,쇠,균형
수,壽,U+58FD,목숨,균형
수,數,U+6578,헤아릴,균형
수,修,U+4FEE,닦을,균형
수,秀,U+79C0,빼어날,균형
수,岫,U+5CAB,바위구멍,균형
수,峀,U+5CC0,산굴,균형
수,豎,U+8C4E,세울,성장
수,竪,U+7AEA,세울,성장
수,讎,U+8B8E,짝,균형
수,讐,U+8B90,원수,균형
숙,塾,U+587E,사랑방,개방
숙,琡,U+7421,옥 이름,균형
숙,璹,U+74B9,옥 그릇,균형
숙,橚,U+6A5A,길고 꼿꼿할,균형
숙,夙,U+5919,이를,균형
숙,潚,U+6F5A,빠를,균형
숙,菽,U+83FD,콩,균형
숙,倏,U+500F,잠간,균형
숙,俶,U+4FF6,비롯할,균형
숙,儵,U+5135,잿빛,밝음
숙,婌,U+5A4C,궁녀 벼슬이름,균형
숙,驌,U+9A4C,좋은말,균형
숙,鷫,U+9DEB,숙상새,균형
순,橓,U+6A53,무궁화나무,균형
순,蓴,U+84F4,순나물,유연
순,蕣,U+8563,무궁화,균형
순,詢,U+8A62,꾀할,균형
순,馴,U+99B4,길들일,밝음
순,盾,U+76FE,방패,개방
순,峋,U+5CCB,후미질,균형
순,姰,U+59F0,,균형
순,畃,U+7543,,균형
순,侚,U+4F9A,좇을,균형
순,盹,U+76F9,눈 감을,균형
순,眴,U+7734,눈짓할,균형
순,紃,U+7D03,신에 실선 두를,균형
순,肫,U+80AB,광대뼈,밝음
술,戌,U+620C,개,개방
술,述,U+8FF0,이을,균형
술,術,U+8853,재주,지혜
술,鉥,U+9265,돗바늘,균형
술,𡊍,U+2128D,,균형
술,絉,U+7D49,끈,균형
숭,崇,U+5D07,높을,균형
숭,嵩,U+5D69,높을,균형
숭,崧,U+5D27,산 불끈 솟을,균형
숭,菘,U+83D8,배추,균형
습,習,U+7FD2,익힐,균형
습,拾,U+62FE,주울,균형
습,濕,U+6FD5,젖을,균형
습,襲,U+8972,옷 덧입을,균형
습,褶,U+8936,슬갑,균형
습,慴,U+6174,두려워할,균형
습,槢,U+69E2,,균형
습,隰,U+96B0,진펄,균형
승,丞,U+4E1E,이을,균형
승,陞,U+965E,오를,균형
승,繩,U+7E69,노끈,균형
승,蠅,U+8805,파리,균형
승,升,U+5347,되,균형
