reading,hanja,unicode,meaning_kw,meaning_tags
계,谿,U+8C3F,시내,균형
계,磎,U+78CE,시내,균형
고,考,U+8003,상고할,균형
고,攷,U+6537,생각할,균형
고,皐,U+7690,부르는 소리,균형
고,皋,U+768B,못,균형
곡,谷,U+8C37,골짜기,균형
곡,曲,U+66F2,굽을,균형
곡,穀,U+7A40,곡식,균형
곡,哭,U+54ED,울,균형
곡,斛,U+659B,휘,밝음
곡,梏,U+688F,쇠고랑,균형
곡,鵠,U+9D60,고니,균형
곡,嚳,U+56B3,고할,균형
곡,槲,U+69F2,떡갈나무,균형
곡,縠,U+7E20,주름 비단,균형
곡,觳,U+89F3,뿔잔,균형
곡,轂,U+8F42,바퀴,균형
곤,困,U+56F0,괴로울,균형
곤,坤,U+5764,땅,균형
곤,衮,U+886E,곤룡포,균형
곤,袞,U+889E,곤룡포,균형
골,骨,U+9AA8,뼈,균형
골,汨,U+6C68,빠질,균형
골,滑,U+6ED1,어지러울,균형
골,搰,U+6430,팔,균형
골,榾,U+69BE,등걸,균형
골,鶻,U+9DBB,송골매,균형
공,公,U+516C,공변될,균형
공,孔,U+5B54,구멍,균형
공,供,U+4F9B,이바지할,균형
공,恭,U+606D,공손할,균형
곽,郭,U+90ED,성곽,균형
곽,廓,U+5ED3,둘레,균형
곽,槨,U+69E8,덧널,균형
곽,藿,U+85FF,콩잎,균형
곽,椁,U+6901,관,균형
곽,癨,U+7668,곽란,균형
곽,霍,U+970D,빠를,균형
곽,鞹,U+97B9,무두질한 가죽,균형
관,管,U+7BA1,피리,균형
관,貫,U+8CAB,꿸,균형
관,慣,U+6163,버릇,균형
관,冠,U+51A0,갓,균형
관,館,U+9928,객사,균형
관,舘,U+8218,객사,균형
관,寬,U+5BEC,너그러울,균형
관,寛,U+5BDB,용서할,균형
광,光,U+5149,빛,밝음
광,廣,U+5EE3,넓을,개방
광,鑛,U+945B,쇳돌,균형
광,狂,U+72C2,미질,균형
광,広,U+5E83,넢을,균형
광,炛,U+709B,,균형
광,炚,U+709A,햇빚 뜨거울,밝음
괘,掛,U+639B,걸,균형
괘,卦,U+5366,걸,균형
괘,罫,U+7F6B,줄,균형
괘,咼,U+54BC,입 비뚤어질,지혜
괘,挂,U+6302,그림족자,균형
괘,罣,U+7F63,걸,균형
괘,詿,U+8A7F,그르칠,균형
괴,塊,U+584A,흙덩이,균형
괴,愧,U+6127,부끄러워할,균형
괴,怪,U+602A,기이할,균형
괴,壞,U+58DE,무너질,균형
괴,乖,U+4E56,어그러질,균형
괴,傀,U+5080,클,성장
괴,拐,U+62D0,속일,밝음
괴,槐,U+69D0,홰나무,균형
괴,魁,U+9B41,으뜸,균형
괴,媿,U+5ABF,창피줄,균형
괴,廥,U+5EE5,여물광,밝음
괴,瑰,U+7470,슬이름,균형
괴,璝,U+749D,옥돌,균형
괴,蒯,U+84AF,황모,균형
괴,襘,U+8958,띠매듭,균형
교,餃,U+9903,경단,균형
교,驕,U+9A55,교만할,균형
교,鮫,U+9BAB,상어,균형
교,姣,U+59E3,예쁠,균형
교,佼,U+4F7C,예쁠,균형
교,噭,U+566D,부르짖을,균형
교,憍,U+618D,교만할,균형
교,鄗,U+9117,,균형
교,嘐,U+5610,닭 울,균형
교,嘄,U+5604,부르짖을,균형
교,嚙,U+5699,깨물,균형
교,撟,U+649F,들,균형
교,晈,U+6648,달 밝을,밝음
교,暞,U+669E,밝을,밝음
교,敎,U+654E,가르침,균형
교,教,U+6559,가르칠,균형
구,具,U+5177,갖출,균형
구,俱,U+4FF1,함께,균형
구,區,U+5340,감출,균형
구,驅,U+9A45,몰,균형
구,丘,U+4E18,언덕,균형
구,坵,U+5775,언덕,균형
구,耇,U+8007,명길,밝음
구,耈,U+8008,늙을,균형
구,廏,U+5ECF,마구간,균형
구,廐,U+5ED0,마구간,균형
국,國,U+570B,나라,균형
국,菊,U+83CA,국화,균형
국,局,U+5C40,부분,균형
국,鞠,U+97A0,기를,균형
국,鞫,U+97AB,국문할,균형
국,麴,U+9EB4,누룩,균형
국,𥮗,U+25B97,,균형
국,匊,U+530A,움켜 뜰,균형
국,掬,U+63AC,두 손으로 움킬,균형
국,跼,U+8DFC,구부릴,균형
국,麯,U+9EAF,누룩,균형
국,趜,U+8D9C,,균형
국,国,U+56FD,나라,균형
군,君,U+541B,임금,균형
군,郡,U+90E1,고을,균형
군,軍,U+8ECD,군사,균형
군,群,U+7FA4,무리,균형
군,窘,U+7A98,군색할,균형
군,裙,U+88D9,치마,균형
군,捃,U+6343,주울,균형
군,桾,U+687E,고욤나무,균형
군,皸,U+76B8,얼어터질,균형
굴,屈,U+5C48,굽을,균형
굴,窟,U+7A9F,구멍,균형
굴,堀,U+5800,굴뚝,균형
굴,掘,U+6398,팔,균형
굴,倔,U+5014,딱딱할,균형
굴,崛,U+5D1B,산 높을,균형
굴,淈,U+6DC8,흐릴,균형
굴,詘,U+8A58,굽을,균형
궁,弓,U+5F13,활,균형
궁,宮,U+5BAE,궁궐,균형
궁,窮,U+7AAE,다할,균형
궁,躬,U+8EAC,몸,균형
궁,穹,U+7A79,높을,균형
궁,芎,U+828E,궁궁이,균형
궁,躳,U+8EB3,몸,균형
권,圈,U+5708,둥글,균형
권,眷,U+7737,돌아볼,균형
권,倦,U+5026,게으를,균형
권,捲,U+6372,거둘,균형
권,淃,U+6DC3,물돌아 흐를,균형
권,勌,U+52CC,게으를,균형
권,惓,U+60D3,삼갈,균형
권,棬,U+68EC,휘어만든 나무그릇,밝음
권,睠,U+7760,돌볼,균형
권,綣,U+7DA3,정다울,청렴
권,蜷,U+8737,움추러질,균형
권,權,U+6B0A,권세,균형
권,権,U+6A29,권세,균형
궐,厥,U+53A5,그,균형
궐,闕,U+95D5,대궐,균형
궐,獗,U+7357,도둑 일어날,밝음
궐,蕨,U+8568,고사리,균형
궐,蹶,U+8E76,우물벌레,균형
궤,軌,U+8ECC,수레바퀴 사이,균형
귀,貴,U+8CB4,높을,균형
귀,歸,U+6B78,돌아올,균형
귀,鬼,U+9B3C,귀신,균형
귀,句,U+53E5,글귀,균형
귀,晷,U+6677,시각,균형
귀,䤥,U+4925,,균형
귀,龜,U+9F9C,거북,균형
규,叫,U+53EB,부를,균형
규,規,U+898F,그림쇠,균형
규,糾,U+7CFE,삼합노,균형
규,湀,U+6E40,,균형
규,茥,U+8325,,균형
규,煃,U+7143,,균형
규,刲,U+5232,찌를,균형
규,嬀,U+5B00,성,균형
규,巋,U+5DCB,높고 험준할,균형
규,暌,U+668C,해질,밝음
규,楏,U+694F,호미자루,균형
규,樛,U+6A1B,나무가지 휘어질,밝음|지혜
규,潙,U+6F59,물이름,균형
규,睽,U+777D,어그러질,균형
규,虯,U+866F,뿔없는 용,균형
규,跬,U+8DEC,한발자국,균형
규,闚,U+95DA,갸웃이 볼,균형
규,糺,U+7CFA,거둘,균형
균,均,U+5747,고를,균형
균,菌,U+83CC,버섯,균형
균,畇,U+7547,밭개간할,개방
균,鈞,U+921E,서른 근,균형
균,筠,U+7B60,대껍질,균형
균,勻,U+52FB,고를,균형
균,龜,U+9F9C,(피부가)틀,균형
균,覠,U+89A0,,균형
균,囷,U+56F7,둥근곳집,균형
균,麏,U+9E8F,고라니,균형
균,匀,U+5300,고를,균형
극,極,U+6975,가운데,균형
극,克,U+514B,이길,균형
극,劇,U+5287,심할,균형
극,剋,U+524B,깍일,밝음
극,隙,U+9699,틈,균형
극,戟,U+621F,갈래진 창,균형
극,棘,U+68D8,가시나무,균형
극,亟,U+4E9F,빠를,균형
극,尅,U+5C05,이길,균형
극,屐,U+5C50,나막신,균형
극,郄,U+90C4,틈,균형
금,衾,U+887E,이불,균형
금,襟,U+895F,옷깃,균형
금,昑,U+6611,밝을,밝음
금,妗,U+5997,외숙모,균형
금,擒,U+64D2,사로잡을,균형
금,檎,U+6A8E,능금나무,균형
금,芩,U+82A9,풀 이름,균형
금,衿,U+887F,옷깃,균형
금,唫,U+552B,입 다물,균형
금,噤,U+5664,입 다물,균형
금,嶔,U+5D94,높고 험할,균형
금,笒,U+7B12,첨대,균형
금,黅,U+9EC5,누른 빛,밝음
급,及,U+53CA,미칠,균형
급,給,U+7D66,넉넉할,풍요
급,急,U+6025,급할,균형
급,級,U+7D1A,등급,균형
급,汲,U+6C72,길을,균형
급,伋,U+4F0B,속일,밝음
급,扱,U+6271,미칠,균형
급,圾,U+573E,위태할,균형
급,岌,U+5C8C,높을,균형
급,皀,U+7680,고소할,균형
급,礏,U+790F,산 높은 모양,균형
급,笈,U+7B08,책상자,균형
급,芨,U+82A8,말오줌나무,균형
긍,肯,U+80AF,옳이 여길,균형
긍,亘,U+4E98,구할,균형
긍,兢,U+5162,삼갈,균형
긍,矜,U+77DC,불쌍히 여길,균형
긍,殑,U+6B91,까무라칠,균형
긍,亙,U+4E99,뻗칠,균형
기,旗,U+65D7,기,균형
기,欺,U+6B3A,속일,밝음
기,奇,U+5947,기이할,균형
기,騎,U+9A0E,말탈,균형
기,棋,U+68CB,바둑,균형
기,碁,U+7881,바둑,균형
기,璣,U+74A3,구슬,균형
기,㼄,U+3F04,,균형
긴,緊,U+7DCA,굳게 얽힐,강인함
길,吉,U+5409,길할,균형
길,佶,U+4F76,건장할,강인함
길,桔,U+6854,도라지,균형
길,姞,U+59DE,성,균형
길,拮,U+62EE,일할,밝음
길,蛣,U+86E3,장구벌레,강인함
나,那,U+90A3,어찌,균형
낙,諾,U+8AFE,대답할,균형
난,暖,U+6696,따뜻할,온화
난,難,U+96E3,어려울,균형
난,煖,U+7156,따뜻할,온화
난,偄,U+5044,언약할,균형
난,愞,U+611E,,균형
난,赧,U+8D67,얼굴 붉힐,균형
난,餪,U+992A,풀보기 잔치,균형
남,南,U+5357,남녘,균형
남,男,U+7537,사내,균형
남,楠,U+6960,녹나무,균형
남,湳,U+6E73,강 이름,강인함
남,枏,U+678F,녹나무,균형
남,喃,U+5583,재잘거릴,균형
납,納,U+7D0D,바칠,균형
납,衲,U+8872,기울,균형
낭,娘,U+5A18,아가씨,균형
낭,囊,U+56CA,주머니,균형
낭,曩,U+66E9,접때,균형
내,內,U+5167,안,균형
